time,fs_10m,fs_30m,fs_50m,fs_70m,fx_10m,fx_30m,fx_50m,fx_70m,wd,qy,sd,Patv
2019/1/1 0:00,2.803,3.355,3.704,4.454,214.542,226.497,230.991,248.016,13.155,874.684,56.987,3.493
2019/1/1 0:15,3.031,2.949,3.498,3.56,216.25,232.957,235.204,256.954,13.139,874.64,57.458,4.330333
2019/1/1 0:30,2.068,2.519,3.142,3.662,250.506,258.277,256.066,267.296,13.129,874.626,57.288,3.617333
2019/1/1 0:45,2.676,2.468,3.525,3.944,236.935,255.176,253.468,266.783,13.125,874.484,57.516,2.656667
2019/1/1 1:00,3.132,2.899,3.422,3.612,209.531,229.481,230.442,248.507,13.117,874.356,58.049,3.807
2019/1/1 1:15,3.796,3.893,4.343,4.809,196.664,213.243,215.63,233.203,13.105,874.188,58.114,6.974333
2019/1/1 1:30,3.335,3.816,4.215,4.251,193.705,216.05,219.093,238.082,13.105,874.132,58.957,7.747667
2019/1/1 1:45,3.132,3.816,4.011,4.175,204.667,226.337,227.563,239.392,13.091,874.005,59.02,7.985667
2019/1/1 2:00,1.359,2.468,3.524,3.637,219.76,243.275,241.312,251.138,13.085,874.005,58.594,5.047333
2019/1/1 2:15,1.435,1.885,3.193,3.406,206.705,242.937,240.174,252.378,13.083,873.805,60.83,4.505666
2019/1/1 2:30,2.119,2.012,2.914,3.203,217.491,247.593,244.984,251.993,13.071,873.819,59.593,4.58
2019/1/1 2:45,1.764,1.683,2.405,2.746,221.363,253.302,251.34,257.341,13.069,873.862,58.793,3.021333
2019/1/1 3:00,1.865,2.164,3.168,3.663,215.16,245.395,243.71,250.811,13.063,873.834,58.783,1.824667
2019/1/1 3:15,2.245,1.708,2.609,3.254,193.395,225.657,231.494,240.774,13.051,873.733,58.87,2.106
2019/1/1 3:30,2.119,2.392,3.015,3.509,194.147,227.845,235.087,241.557,13.046,873.762,59.029,1.898667
2019/1/1 3:45,1.739,1.987,3.015,3.127,223.618,252.426,249.302,256.053,13.042,873.92,59.428,1.969333
2019/1/1 4:00,0.827,2.037,2.711,2.796,267.926,267.087,260.067,276.015,13.028,873.962,60.843,0.570667
2019/1/1 4:15,1.84,2.215,2.558,2.899,209.508,237.017,238.058,251.794,13.029,873.676,62.062,0.249667
2019/1/1 4:30,1.865,2.037,2.761,2.796,208.164,245.687,251.688,259.527,13.017,873.791,61.21,0.194333
2019/1/1 4:45,1.105,0.999,2.507,3.025,214.18,252.991,255.283,265.802,13.011,873.762,61.184,0.755
2019/1/1 5:00,1.612,0.821,1.79,2.363,190.126,231.743,246.563,255.772,13.004,873.492,61.842,0.923
2019/1/1 5:15,1.916,0.948,1.688,2.721,172.069,217.338,235.576,245.394,12.995,873.394,61.583,0.432333
2019/1/1 5:30,2.651,1.429,2.276,3.101,168.912,200.563,213.41,226.484,12.989,873.155,62.108,0.444333
2019/1/1 5:45,1.967,0.441,1.131,2.031,193.762,206.518,213.41,236.733,12.979,873.126,63.056,0.774333
